timestamp,ip,request_count,response_time,status_code
2026-03-26 20:06:31,192.168.1.12,44,158,500
2026-03-26 20:06:33,192.168.1.18,62,195,200
2026-03-26 20:06:35,192.168.1.12,1127,22,404
2026-03-26 20:06:37,192.168.1.14,77,162,500
2026-03-26 20:06:39,192.168.1.10,47,204,404
2026-03-26 20:06:41,192.168.1.12,58,231,500
2026-03-26 20:06:43,192.168.1.10,61,227,200
2026-03-26 20:06:45,192.168.1.15,64,185,200
2026-03-26 20:06:47,192.168.1.17,59,172,404
2026-03-26 20:06:49,192.168.1.13,73,202,500
2026-03-26 20:06:51,192.168.1.14,73,182,500
2026-03-26 20:06:53,192.168.1.16,48,245,200
2026-03-26 20:06:55,192.168.1.19,42,176,500
2026-03-26 20:06:57,192.168.1.17,44,172,500
2026-03-26 20:06:59,192.168.1.19,67,204,500
2026-03-26 20:07:01,192.168.1.14,1555,14,500
2026-03-26 20:07:03,192.168.1.13,45,193,500
2026-03-26 20:07:05,192.168.1.10,64,169,200
2026-03-26 20:07:07,192.168.1.18,67,207,200
2026-03-26 20:07:09,192.168.1.10,47,159,404
2026-03-26 20:07:11,192.168.1.12,73,201,500
2026-03-26 20:07:13,192.168.1.13,1333,22,404
2026-03-26 20:07:15,192.168.1.18,66,250,200
2026-03-26 20:07:17,192.168.1.13,46,174,404
2026-03-26 20:07:19,192.168.1.13,49,198,404
2026-03-26 20:07:21,192.168.1.14,47,167,404
2026-03-26 20:07:23,192.168.1.21,51,162,404
2026-03-26 20:07:25,192.168.1.10,1454,15,500
2026-03-26 20:07:27,192.168.1.21,68,225,200
2026-03-26 20:07:29,192.168.1.17,53,165,200
2026-03-26 20:07:31,192.168.1.20,75,172,200
2026-03-26 20:07:33,192.168.1.16,53,172,500
2026-03-26 20:07:35,192.168.1.21,1331,19,404
2026-03-26 20:07:37,192.168.1.18,62,222,500
2026-03-26 20:07:39,192.168.1.17,48,250,404
2026-03-26 20:07:41,192.168.1.14,72,179,404
2026-03-26 20:07:43,192.168.1.21,51,202,404
2026-03-26 20:07:45,192.168.1.20,49,221,200
2026-03-26 20:07:47,192.168.1.16,70,231,500
2026-03-26 20:07:49,192.168.1.21,44,173,200
2026-03-26 20:07:51,192.168.1.15,64,181,500
2026-03-26 20:07:53,192.168.1.10,1242,19,404
2026-03-26 20:07:55,192.168.1.21,46,171,404
2026-03-26 20:07:57,192.168.1.11,52,240,500
2026-03-26 20:07:59,192.168.1.15,72,163,404
2026-03-26 20:08:01,192.168.1.13,45,210,500
2026-03-26 20:08:03,192.168.1.21,1101,13,500
2026-03-26 20:08:05,192.168.1.13,57,246,200
2026-03-26 20:08:07,192.168.1.14,55,159,200
2026-03-26 20:08:09,192.168.1.20,74,168,404
2026-03-26 20:08:11,192.168.1.16,1304,10,500
2026-03-26 20:08:13,192.168.1.14,65,193,404
2026-03-26 20:08:15,192.168.1.16,45,247,404
2026-03-26 20:08:17,192.168.1.13,76,168,200
2026-03-26 20:08:19,192.168.1.16,55,222,404
2026-03-26 20:08:21,192.168.1.13,71,211,500
2026-03-26 20:08:23,192.168.1.15,47,249,200
2026-03-26 20:08:25,192.168.1.18,59,202,404
